x: -0.119964599609375, y: 0.17529296875, z: -0.963027954101562, 
x: -0.0994110107421875, y: 0.198944091796875, z: -0.9698486328125, 
x: -0.078338623046875, y: 0.206878662109375, z: -0.979705810546875, 
x: -0.0768585205078125, y: 0.207901000976562, z: -0.985122680664062, 
x: -0.093017578125, y: 0.195632934570312, z: -0.988616943359375, 
x: -0.108657836914062, y: 0.173019409179688, z: -0.990203857421875, 
x: -0.114517211914062, y: 0.148406982421875, z: -0.988357543945312, 
x: -0.106658935546875, y: 0.132659912109375, z: -0.98895263671875, 
x: -0.09344482421875, y: 0.118301391601562, z: -0.977706909179688, 
x: -0.0841217041015625, y: 0.1044921875, z: -0.972869873046875, 
x: -0.0831451416015625, y: 0.095123291015625, z: -0.970443725585938, 
x: -0.0914764404296875, y: 0.105987548828125, z: -0.975311279296875, 
x: -0.104232788085938, y: 0.134078979492188, z: -0.981048583984375, 
x: -0.109634399414062, y: 0.165130615234375, z: -0.987777709960938, 
x: -0.11358642578125, y: 0.194671630859375, z: -0.989089965820312, 
x: -0.10870361328125, y: 0.20050048828125, z: -0.979690551757812, 
x: -0.105255126953125, y: 0.186737060546875, z: -0.980758666992188, 
x: -0.100814819335938, y: 0.16314697265625, z: -0.986328125, 
x: -0.098846435546875, y: 0.145904541015625, z: -0.98297119140625, 
x: -0.101791381835938, y: 0.137008666992188, z: -0.977096557617188, 
x: -0.103256225585938, y: 0.134994506835938, z: -0.971176147460938, 
x: -0.100341796875, y: 0.137359619140625, z: -0.957855224609375, 
x: -0.101806640625, y: 0.135833740234375, z: -0.951934814453125, 
x: -0.094940185546875, y: 0.1295166015625, z: -0.96234130859375, 
x: -0.0797271728515625, y: 0.136123657226562, z: -0.993911743164062, 
x: -0.0679779052734375, y: 0.141036987304688, z: -0.993896484375, 
x: -0.0758514404296875, y: 0.142318725585938, z: -0.96575927734375, 
x: -0.09930419921875, y: 0.149078369140625, z: -1.01502990722656, 
x: -0.0870361328125, y: 0.169479370117188, z: -1.04750061035156, 
x: -0.0778045654296875, y: 0.184921264648438, z: -1.0064697265625, 
x: -0.11212158203125, y: 0.167877197265625, z: -0.958648681640625, 
x: -0.1390380859375, y: 0.148666381835938, z: -0.954269409179688, 
x: -0.11358642578125, y: 0.148101806640625, z: -0.944931030273438, 
x: -0.0744171142578125, y: 0.1500244140625, z: -0.943023681640625, 
x: -0.0645751953125, y: 0.148757934570312, z: -0.972640991210938, 
x: -0.0821533203125, y: 0.156494140625, z: -1.02044677734375, 
x: -0.110549926757812, y: 0.160568237304688, z: -1.03665161132812, 
x: -0.118942260742188, y: 0.15081787109375, z: -0.980438232421875, 
x: -0.105728149414062, y: 0.1339111328125, z: -0.956375122070312, 
x: -0.0758514404296875, y: 0.134353637695312, z: -0.952484130859375, 
x: -0.0709381103515625, y: 0.152236938476562, z: -0.977554321289062, 
x: -0.096893310546875, y: 0.177032470703125, z: -1.00155639648438, 
x: -0.111587524414062, y: 0.185440063476562, z: -1.00592041015625, 
x: -0.106704711914062, y: 0.167572021484375, z: -0.985305786132812, 
x: -0.0885772705078125, y: 0.145294189453125, z: -0.967193603515625, 
x: -0.072906494140625, y: 0.144790649414062, z: -0.968704223632812, 
